Position,Track Name,Artist,Streams,URL,Date,Region
49,Otra Vez (feat. J Balvin),Zion & Lennox,60689,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,08/12/2017,ar
50,SÃ­guelo Bailando,Ozuna,59059,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz,08/12/2017,ar
51,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,58772,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,08/12/2017,ar
52,Bella,Wolfine,49343,https://open.spotify.com/track/1Ft13La2daEGqz5yWJC7lx,08/12/2017,ar
53,Krippy Kush,Farruko,45587,https://open.spotify.com/track/7FfpP3YZ6fOWMdxkIAtud9,08/12/2017,ar
54,Me Llamas (feat. Maluma) - Remix,Piso 21,44506,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX,08/12/2017,ar
55,Quiero Repetir,Ozuna,43843,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri,08/12/2017,ar
56,Sexto Sentido (feat. Bad Bunny),Gigolo Y La Exce,41311,https://open.spotify.com/track/3iDPALl8BoUbuXZgy6EOWY,08/12/2017,ar
57,Loca (feat. Cali Y El Dandee),Maite Perroni,40079,https://open.spotify.com/track/05ZXXyeZFhZtA6DAP3Aw7x,08/12/2017,ar
58,Cuando Se Pone a Bailar,Rombai,39895,https://open.spotify.com/track/1MpKZi1zTXpERKwxmOu1PH,08/12/2017,ar
59,BesÃ¡ndote,Piso 21,39613,https://open.spotify.com/track/13X0XdLMOdtbXVtAj2ox4h,08/12/2017,ar
60,El Amante,Nicky Jam,39104,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,08/12/2017,ar
61,What Lovers Do (feat. SZA),Maroon 5,38979,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k,08/12/2017,ar
62,Piel a Piel,Dame 5,38964,https://open.spotify.com/track/2q3B7GLCEA4uYvuo2g5P82,08/12/2017,ar
63,Todo Comienza en la Disco,Wisin,38825,https://open.spotify.com/track/3a2aBKuvgP1qHo3BqU3lGh,08/12/2017,ar
64,Mamita,CNCO,38617,https://open.spotify.com/track/5ojXuKXBYq0apcNucYSDXq,08/12/2017,ar
65,Luna Llena,Paulo,37358,https://open.spotify.com/track/3XHSkETwCxRKrbCfmzrUvk,08/12/2017,ar
66,Perfect,Ed Sheeran,36686,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,08/12/2017,ar
67,Wolves,Selena Gomez,36395,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,08/12/2017,ar
68,ReggaetÃ³n Lento (Bailemos),CNCO,36243,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,08/12/2017,ar
69,Sigo ExtraÃ±Ã¡ndote,J Balvin,36071,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8,08/12/2017,ar
70,B.U.H.O (feat. Duki & Klave),Midel,36022,https://open.spotify.com/track/6F9BrSf6kqJkV6Uyq589uj,08/12/2017,ar
71,Traicionera,Sebastian Yatra,35690,https://open.spotify.com/track/5J1c3M4EldCfNxXwrwt8mT,08/12/2017,ar
72,Ahora Me Llama,Karol G,35468,https://open.spotify.com/track/11ZRYISCsAsLyyJo47DudZ,08/12/2017,ar
73,Bebe (feat. Anuel AA),Ozuna,34096,https://open.spotify.com/track/6SIrNxmmdbv1KUbFBu1PaN,08/12/2017,ar
74,"Soy Peor Remix (feat. J Balvin, Ozuna & Arcangel)",Bad Bunny,34028,https://open.spotify.com/track/4UG962ViiLqoUyx0RjCcwP,08/12/2017,ar
