"","Rank","Track","Artist","Streams","Date"
"94",94,"Vente Pa' Ca","Ricky Martin",26269,2017-08-12
"95",95,"Borro Cassette","Maluma",26063,2017-08-12
"96",96,"El Desorden","Ozuna",25889,2017-08-12
"97",97,"Juraste","Sky",25813,2017-08-12
"98",98,"Baila Morena","Dame 5",25812,2017-08-12
"99",99,"La Quiero Conocer","Marama",25627,2017-08-12
"100",100,"Andas En Mi Cabeza","Chino & Nacho",25579,2017-08-12
"101",101,"Vitamina","Maluma",25196,2017-08-12
"102",102,"Attention","Charlie Puth",25086,2017-08-12
"103",103,"Something Just Like This","The Chainsmokers",25031,2017-08-12
"104",104,"Never Be the Same - Radio Edit","Camila Cabello",24992,2017-08-12
"105",105,"Dusk Till Dawn - Radio Edit","ZAYN",24843,2017-08-12
"106",106,"Oncemil","Abel Pintos",24706,2017-08-12
"107",107,"No Te Hagas","Jory Boy",24607,2017-08-12
"108",108,"Ahora Me Llama - Remix","Karol G",24552,2017-08-12
"109",109,"Terremoto Pa Tu Cola","El Apache Ness",24464,2017-08-12
"110",110,"Ready for the Night","Duki",24321,2017-08-12
"111",111,"SUBEME LA RADIO","Enrique Iglesias",24258,2017-08-12
"112",112,"Despacito - Remix","Luis Fonsi",24232,2017-08-12
"113",113,"Ay Mi Dios","IAmChino",23973,2017-08-12
"114",114,"El Amante - Remix","Nicky Jam",23823,2017-08-12
"115",115,"La Noche No Es para Dormir","Mano Arriba",23795,2017-08-12
"116",116,"Alguien Robo","Sebastian Yatra",23485,2017-08-12
"117",117,"Lola","Duki",23374,2017-08-12
"118",118,"Too Good At Goodbyes","Sam Smith",22765,2017-08-12
"119",119,"Dime Cosas Lindas","Dame 5",22718,2017-08-12
"120",120,"Te Quiero PaÂ´Mi","Don Omar",22505,2017-08-12
"121",121,"Creo","Callejeros",22415,2017-08-12
"122",122,"Nuestro Secreto","Carlos Vives",22153,2017-08-12
"123",123,"DevuÃ©lveme El CorazÃ³n","Sebastian Yatra",21920,2017-08-12
"124",124,"DÃ©jate Llevar","Juan MagÃ¡n",21673,2017-08-12
"125",125,"Nunca quise","Intoxicados",21670,2017-08-12
"126",126,"24K Magic","Bruno Mars",21481,2017-08-12
"127",127,"That's What I Like","Bruno Mars",21397,2017-08-12
"128",128,"Soy Peor","Bad Bunny",21270,2017-08-12
"129",129,"Puti Short","De La Calle",21243,2017-08-12
"130",130,"La Bicicleta","Carlos Vives",21080,2017-08-12
"131",131,"Si Tu Novio Te Deja Sola","J Balvin",21008,2017-08-12
"132",132,"How Long","Charlie Puth",20904,2017-08-12
"133",133,"I Feel It Coming","The Weeknd",20794,2017-08-12
"134",134,"Friends (with BloodPopÂ®)","Justin Bieber",20765,2017-08-12
"135",135,"No Me Olvides","La Beriso",20681,2017-08-12
"136",136,"Spaghetti del Rock","Divididos",20501,2017-08-12
"137",137,"Tu No Metes Cabra Remix (feat. Daddy Yankee, Anuel AA & Cosculluela)","Bad Bunny",20479,2017-08-12
"138",138,"Lejos","Dame 5",20470,2017-08-12
"139",139,"Crimen","Gustavo Cerati",20120,2017-08-12
"140",140,"Krippy Kush - Remix","Farruko",19948,2017-08-12
"141",141,"Safari","J Balvin",19936,2017-08-12
"142",142,"Llamame Mas Temprano","Mano Arriba",19894,2017-08-12
"143",143,"Besarte","Rombai",19880,2017-08-12
"144",144,"Es Tarde","Juanes",19788,2017-08-12
"145",145,"Diabla - Official Remix","Farruko",19691,2017-08-12
"146",146,"Tu No Metes Cabra","Bad Bunny",19629,2017-08-12
"147",147,"Por Favor - Spanglish Version","Fifth Harmony",19530,2017-08-12
"148",148,"Dile Que Tu Me Quieres","Ozuna",19379,2017-08-12
"149",149,"Thunder","Imagine Dragons",19329,2017-08-12
"150",150,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",19114,2017-08-12
"151",151,"Ropa Interior","Justin Quiles",18974,2017-08-12
"152",152,"Una Cerveza","Rafaga",18882,2017-08-12
"153",153,"The Scientist","Coldplay",18814,2017-08-12
"154",154,"La Tonta","Jimena Baron",18770,2017-08-12
"155",155,"Joga o Bum Bum Tamtam","MC Fioti",18497,2017-08-12
"156",156,"23","Maluma",18462,2017-08-12
"157",157,"Gyal You A Party Animal - Remix","Charly Black",18415,2017-08-12
"158",158,"Me Gusta","Ciro y los Persas",18317,2017-08-12
"159",159,"Ahora mirame","Ulises Bueno",18303,2017-08-12
"160",160,"Tu Novia","Lali",18278,2017-08-12
"161",161,"Como TÃº","Luciano Pereyra",18243,2017-08-12
"162",162,"Thinking Out Loud","Ed Sheeran",18238,2017-08-12
"163",163,"El Equivocado","Mano Arriba",18126,2017-08-12
"164",164,"Madrugada","La Beriso",18013,2017-08-12
"165",165,"Sin Principio Ni Final","Abel Pintos",17849,2017-08-12
"166",166,"Rocanroles Sin Destino","Callejeros",17848,2017-08-12
"167",167,"Imitadora","Romeo Santos",17775,2017-08-12
"168",168,"No vaya a ser","Pablo AlborÃ¡n",17528,2017-08-12
"169",169,"Blow Your Mind (Mwah)","Dua Lipa",17523,2017-08-12
"170",170,"Pasarla Bien","Marama",17463,2017-08-12
"171",171,"Believer","Imagine Dragons",17411,2017-08-12
"172",172,"Besos En Guerra","Morat",17193,2017-08-12
"173",173,"Balada Del Diablo y La Muerte","La Renga",17185,2017-08-12
"174",174,"SerÃ¡ - En Vivo","Las Pelotas",17174,2017-08-12
"175",175,"#Natural","Paty CantÃº",17137,2017-08-12
"176",176,"Si Tu Lo Dejas","Rvssian",17076,2017-08-12
"177",177,"Boom Boom","RedOne",17055,2017-08-12
"178",178,"EscÃ¡pate Conmigo - Remix","Wisin",16993,2017-08-12
"179",179,"Feels","Calvin Harris",16971,2017-08-12
"180",180,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",16839,2017-08-12
"181",181,"Me Mata","Bad Bunny",16815,2017-08-12
"182",182,"Romance","Nacho",16765,2017-08-12
"183",183,"Deja De Llorar","El Polaco",16683,2017-08-12
"184",184,"Te Robo Remix","Gigolo Y La Exce",16672,2017-08-12
"185",185,"Photograph","Ed Sheeran",16665,2017-08-12
"186",186,"There's Nothing Holdin' Me Back","Shawn Mendes",16631,2017-08-12
"187",187,"Mil Horas","Los Abuelos De La Nada",16629,2017-08-12
"188",188,"Persiana Americana","Soda Stereo",16477,2017-08-12
"189",189,"Desde Esa Noche","ThalÃ­a",16365,2017-08-12
"190",190,"Scared to Be Lonely","Martin Garrix",16227,2017-08-12
